class_id,class_name,precision,recall,ap50,ap50_95,baseline_ap50,baseline_ap50_95,delta_ap50_95
16,dog,0.8573510915867828,0.7064220183486238,0.7809853553895982,0.6428231502328738,0.817908562573016,0.7111796147246587,-0.0683564644917849
68,microwave,0.47340481794443584,0.7454545454545455,0.7108648844057112,0.5664029351209569,0.7843799046571929,0.6350823984842725,-0.06867946336331565
42,fork,0.6786796710430328,0.3627906976744186,0.47781412304367704,0.333206404421592,0.561310629830575,0.40193542937475557,-0.06872902495316358
57,couch,0.6215973185879412,0.5823754789272031,0.618061702546123,0.457038341070099,0.669117741473623,0.5285276516693992,-0.0714893105993002
7,truck,0.5140723007540254,0.4758454106280193,0.4839216988388404,0.33916473990536616,0.5793623170601296,0.4110608864224277,-0.07189614651706155
77,teddy bear,0.6279200811293194,0.6263157894736842,0.6563740052274614,0.47103463025693293,0.7135552368228022,0.5436812241916049,-0.07264659393467199
70,toaster,0.30805763167565064,0.7777777777777778,0.6282232879537953,0.5012745977722772,0.7701388888888889,0.5741527777777778,-0.07287818000550061
21,bear,0.7769474845915557,0.8831140063797189,0.8680679045844294,0.7041944256637674,0.9308223298397893,0.7803001223124942,-0.0761056966487268
72,refrigerator,0.6934609994715794,0.7380952380952381,0.7468031431812967,0.5943911812119809,0.7965533555981172,0.674091469989769,-0.07970028877778812
76,scissors,0.5287115300283387,0.3611111111111111,0.3884729965011033,0.29087062116991,0.474930943109435,0.3763541888680964,-0.08548356769818638
17,horse,0.7394916728972741,0.7463235294117647,0.7755561822459858,0.5633835581715746,0.8384008465279715,0.6491248021102134,-0.0857412439386388
69,oven,0.5138998906204529,0.5104895104895105,0.5087726615818804,0.3361181337348139,0.6200930121180741,0.444722985959526,-0.10860485222471206
31,snowboard,0.47139890450619876,0.45239170009375185,0.4091434670869085,0.29514073309666217,0.5686943644319473,0.43366833534188076,-0.1385276022452186
